No,충전소명,구분,공급방식,주소,충전소전화번호,용도,비고
46,원더플(주) 복합수소충전소,저장식,튜브트레일러,강원도 삼척시 오분동 122-3 외5필지,033-575-5189,상업용,
20,한국도로공사 안성(부산)휴게소,저장식,튜브트레일러,경기 안성 경부고속도로 365,031-651-5385,상업용,
21,대보유통㈜ 안성(서울)주유소,저장식,튜브트레일러,경기 안성 경부고속도로 372,031-664-4096,상업용,
23,(주)고신통상 영동고속도로 여주(강릉)휴게소,저장식,튜브트레일러,경기 여주 여주남로 722(영동고속도로),031-881-6132,상업용,
1,현대자동차㈜ 환경기술연구소,저장식,튜브트레일러,경기 용인 기흥 마북로240번길 17-5(마북동),031-899-3022,연구용,
5,한국교통안전공단 자동차성능연구소,저장식,튜브트레일러,경기 화성 송산면 삼존로 200,031-369-1173,연구용,미가동
3,현대자동차㈜ 남양연구소,저장식,튜브트레일러,경기 화성 현대연구소로 150,,연구용,
19,창원성주 수소충전소,저장식,튜브트레일러,경남 창원 성산구 성주동 175,055-286-7715,상업용,
13,(재)창원산업진흥원 팔용수소충전소,저장식,튜브트레일러,경남 창원 의창구 창원대로18번길 46,055-299-7716,상업용,
38,창원덕동수소충전소,저장식,튜브트레일러,경남 창원시 마산합포구 덕동동 838,055-244-7716,상업용,
31,범한산업㈜,제조식,개질(NG),경남 창원시 마산회원구 자유무역4길 61,055-251-6070,상업용,휴지
27,CENTRAL H2 STATION,저장식,튜브트레일러,경남 창원시 성산구 중앙대로21번길 15,,상업용(현재 실증용),
32,㈜이엠석유 함안(부산)휴게소,저장식,튜브트레일러,경남 함안군 군북면 현포로 205,055-583-9341,상업용,
28,성주(양평) 수소충전소,저장식,튜브트레일러,경북 성주군 초전면 중부내륙고속도로 98,054-933-0820,상업용,
16,동곡융복합수소충전소　,저장식,튜브트레일러,광주 광산구 동곡로 326(복룡동),062-941-9534,상업용,
50,한국자동차부품연구원,저장식,튜브트레일러,광주 광산구 오선동 573,062-960-9242,연구용,미개소
11,(재)광주그린카진흥원 수소융합스테이션,저장식,튜브트레일러,광주 광산구 진곡산단중앙로 55,062-960-9580,상업용,
41,임암수소충전소,저장식,튜브트레일러,광주 남구 임암동 675,,상업용,
45,수소에너지네트워크(주) 성서 수소충전소,저장식,튜브트레일러,대구 달서구 갈산동 980,053-606-1188,상업용,
15,(재)지능형자동차부품진흥원,저장식,튜브트레일러,대구 달성군 국가산단서로 201,053-670-7826,연구용,
10,이엠솔루션㈜ 대구경북지점,제조식,수전해,대구 북구 조야로2길 41,055-239-9026,상업용,휴지
26,대전도시공사 학하수소충전소,저장식,튜브트레일러,대전 유성구 학하동 388-3외 10필지,042-716-7363,상업용,
