행정 구역,업소명,소재지,전화번호,관리구분,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
서울 강남구,강남복지충전소,서울 강남구 자곡동 373-1 (1층),02-445-3300,자동차충전,서울 강남구 자곡동 373-1 (1층),965118,1941979,정좌표,1.16801E+18,구주소,서울특별시 강남구 밤고개로 200,서울특별시 강남구 자곡동 373-1,6372,1168070000,세곡동,1168011200,자곡동
서울 강남구,(주)진양가스,서울 강남구 도곡동 552-4,02-3463-6811,자동차충전,서울 강남구 도곡동 552-4,958954,1943573,정좌표,1.16801E+18,구주소,서울특별시 강남구 도곡로 142,서울특별시 강남구 도곡동 552-4,6260,1168065500,도곡1동,1168011800,도곡동
서울 강남구,대치에너지주식회사,서울 강남구 대치동 27-15,02-3412-2828,자동차충전,서울 강남구 대치동 27-15,962707,1944536,정좌표,1.16801E+18,구주소,서울특별시 강남구 남부순환로 3179,서울특별시 강남구 대치동 27-15,6332,1168074000,일원2동,1168010600,대치동
서울 강남구,남서울가스(주),서울 강남구 대치동 21-1,02-3411-4411,용기+자동차+13kg용기,서울 강남구 대치동 21-1,962482,1944366,정좌표,1.16801E+18,구주소,서울특별시 강남구 남부순환로 3154,서울특별시 강남구 대치동 21-1,6332,1168074000,일원2동,1168010600,대치동
서울 강남구,(주)수서에너지,서울 강남구 자곡동 204-1.3,02-445-1083,자동차충전,서울 강남구 자곡동 204-1.3,965804,1942510,인근좌표,11680,구주소,,서울특별시 강남구 자곡동 204-1,NULL,,,1168011200,자곡동
서울 강동구,암사충전소,서울 강동구 암사동 503-30,02-3427-4244,자동차충전,서울 강동구 암사동 503-30,967122,1950341,정좌표,1.17401E+18,구주소,서울특별시 강동구 올림픽로 791,서울특별시 강동구 암사동 503-30,5241,1174058000,암사2동,1174010700,암사동
서울 강동구,복지상일충전소," 서울 강동구 상일동 443-5, 7 ",02-442-5583,자동차충전,"서울 강동구 상일동 443-5, 7 ",970843,1949573,정좌표,1.17401E+18,구주소,서울특별시 강동구 천호대로 1452,서울특별시 강동구 상일동 443-5,5290,1174052000,상일동,1174010300,상일동
서울 강동구,(주)경기에너지,서울 강동구 성내동 19-1,02-485-3305,자동차충전,서울 강동구 성내동 19-1,967221,1948645,정좌표,1.17401E+18,구주소,서울특별시 강동구 천호대로 1056,서울특별시 강동구 성내동 19-1,5380,1174065000,성내2동,1174010800,성내동
서울 강동구,복지둔촌충전소,서울 강동구 둔촌동 115-1,02-488-4892,자동차충전,서울 강동구 둔촌동 115-1,968766,1947380,정좌표,1.17401E+18,구주소,서울특별시 강동구 동남로 563,서울특별시 강동구 둔촌동 115-1,5413,1174070000,둔촌2동,1174010600,둔촌동
서울 강북구,(주)청학에너지,서울 강북구 번3동 267,02-980-1163,자동차충전,서울 강북구 번3동 267,959762,1958850,정좌표,1.13056E+18,구주소,서울특별시 강북구 월계로37길 134,서울특별시 강북구 번동 267,1226,1130560800,번3동,1130510200,번동
서울 강북구,서울와사공업(주),서울 강북구 번1동 446-31.32.33,02-902-1112,자동차충전,서울 강북구 번1동 446-31.32.33,958364,1959731,인근좌표,11305,구주소,,서울특별시 강북구 번1동 446-31,NULL,1130559500,번1동,,
서울 강북구,국제가스공업(주),서울 강북구 수유1동 48-23,02-988-5565,자동차충전,서울 강북구 수유1동 48-23,957813,1959534,정좌표,1.13056E+18,구주소,서울특별시 강북구 덕릉로24길 6,서울특별시 강북구 수유동 48-23,1113,1130561500,수유1동,1130510300,수유동
서울 강서구,(주)삼표에너지 김포충전소,서울 강서구 오쇠동 150-5,02-2661-3111,용기+탱크+13kg용기,서울 강서구 오쇠동 150-5,937998,1948980,정좌표,1.15001E+18,구주소,서울특별시 강서구 오정로 390,서울특별시 강서구 오쇠동 150-5,7505,1150062000,공항동,1150011300,오쇠동
서울 강서구,강서가스충전소,서울 강서구 오곡동 593-2외 1필지,02-682-9100,자동차충전,서울 강서구 오곡동 593-2외 1필지,935431,1950871,정좌표,1.15001E+18,구주소,서울특별시 강서구 벌말로 266,서울특별시 강서구 오곡동 593-2,7505,1150062000,공항동,1150011200,오곡동
서울 강서구,대양가스충전소," 서울 강서구 가양동 449-13,14 ",02-2668-5151,자동차충전,"서울 강서구 가양동 449-13,14 ",943539,1951206,정좌표,1.15001E+18,구주소,서울특별시 강서구 양천로 551,서울특별시 강서구 가양동 449-13,7532,1150060500,가양3동,1150010400,가양동
서울 강서구,오곡동충전소," 서울 강서구 오곡동 699-14,15,16 ",02-684-9061,자동차충전,"서울 강서구 오곡동 699-14,15,16 ",935366,1950969,정좌표,1.15001E+18,구주소,서울특별시 강서구 벌말로 271,서울특별시 강서구 오곡동 699-14,7505,1150062000,공항동,1150011200,오곡동
서울 강서구,공항로충전소,서울 강서구 등촌동 534-12외 6필지,02-2653-7211,자동차충전,서울 강서구 등촌동 534-12외 6필지,943327,1950663,정좌표,1.15001E+18,구주소,서울특별시 강서구 공항대로 468,서울특별시 강서구 등촌동 534-12,7664,1150053000,등촌2동,1150010200,등촌동
서울 강서구,대흥에너지산업(주)," 서울 강서구 화곡동 898-3,4,10,11 ",02-2602-2448,자동차충전,"서울 강서구 화곡동 898-3,4,10,11 ",942332,1948073,정좌표,1.15001E+18,구주소,서울특별시 강서구 강서로 25,서울특별시 강서구 화곡동 898-3,7778,1150054000,화곡1동,1150010300,화곡동
서울 강서구,한경에너지,서울 강서구 개화동 215-6 LPG 충전소,02-2064-0786,자동차충전,서울 강서구 개화동 215-6 LPG 충전소,938125,1954480,정좌표,1.15001E+18,구주소,서울특별시 강서구 개화동로 255,서울특별시 강서구 개화동 215-6,7502,1150064000,방화2동,1150011000,개화동
서울 강서구,활주로충전소,서울 강서구 외발산동 384-2,02-676-8289,자동차충전,서울 강서구 외발산동 384-2,939685,1949410,정좌표,1.15001E+18,구주소,서울특별시 강서구 방화대로 26,서울특별시 강서구 외발산동 384-2,7506,1150061100,발산1동,1150010700,외발산동
서울 강서구,복지개화충전소,서울 강서구 개화동 509-4,02-2661-5151,자동차충전,서울 강서구 개화동 509-4,938327,1953106,정좌표,1.15001E+18,구주소,서울특별시 강서구 개화동로 416,서울특별시 강서구 개화동 509-4,7505,1150064000,방화2동,1150011000,개화동
서울 강서구,복지마곡충전소,서울 강서구 마곡동 마곡지구(Q2),02-2668-2377,자동차충전,서울 강서구 마곡동 마곡지구(Q2),940855,1953034,법정동 좌표,11500,판별불가,,서울특별시 강서구 마곡동,NULL,,,1150010500,마곡동
서울 강서구,대영가스 충전소,서울 강서구 마곡동 761-2 (A동(충전소사무동)),02-2659-9520,자동차충전,서울 강서구 마곡동 761-2 (A동(충전소사무동)),939744,1952578,인근좌표,11500,구주소,,서울특별시 강서구 마곡동 761-2,NULL,,,1150010500,마곡동
서울 강서구,방화동LPG충전소,서울 강서구 방화동 45-9,02-2666-9033,자동차충전,서울 강서구 방화동 45-9,939671,1954198,정좌표,1.15001E+18,구주소,서울특별시 강서구 양천로27길 261-40,서울특별시 강서구 방화동 45-9,7518,1150064100,방화3동,1150010900,방화동
서울 관악구,신림충전소,서울 관악구 서림동 112-46,02-882-3434,자동차충전,서울 관악구 서림동 112-46,949980,1941743,정좌표,1.16207E+18,구주소,서울특별시 관악구 신림로 170,서울특별시 관악구 신림동 112-46,8838,1162066500,서림동,1162010200,신림동
서울 관악구,명화가스(주),서울 관악구 낙성대동 1594-8,02-877-1376,자동차충전,서울 관악구 낙성대동 1594-8,951674,1941751,정좌표,1.16206E+18,구주소,서울특별시 관악구 관악로 96,서울특별시 관악구 봉천동 1594-8,8791,1162058500,낙성대동,1162010100,봉천동
서울 광진구,해양가스," 서울 광진구 자양동 628-19호,29호,30호 ",02-444-2442,자동차충전,"서울 광진구 자양동 628-19호,29호,30호 ",963219,1948449,정좌표,1.12151E+18,구주소,서울특별시 광진구 자양로 77,서울특별시 광진구 자양동 628-19,5056,1121582000,자양1동,1121510500,자양동
서울 광진구,중곡동충전소,서울 광진구 중곡동 611-7,02-467-4708,자동차충전,서울 광진구 중곡동 611-7,962351,1951277,정좌표,1.12151E+18,구주소,서울특별시 광진구 동일로 323,서울특별시 광진구 중곡동 611-7,4900,1121574000,중곡1동,1121510100,중곡동
서울 광진구,한양에너지(주),서울 광진구 중곡동 237-8,02-467-8341,자동차충전,서울 광진구 중곡동 237-8,962610,1951817,정좌표,1.12151E+18,구주소,서울특별시 광진구 동일로 381,서울특별시 광진구 중곡동 237-8,4900,1121574000,중곡1동,1121510100,중곡동
서울 구로구,오승프라임산업(주),서울 구로구 궁동 1-16  LPG충전소,02-2618-5500,자동차충전,서울 구로구 궁동 1-16  LPG충전소,940706,1945513,정좌표,1.15301E+18,구주소,서울특별시 구로구 신정로 59,서울특별시 구로구 궁동 1-16,8248,1153079000,수궁동,1153010900,궁동
서울 구로구,대성산업(주)오류동충전소,서울 구로구 오류동 74-8,02-2612-0039,용기+자동차+13kg용기,서울 구로구 오류동 74-8,941482,1943928,정좌표,1.15301E+18,구주소,서울특별시 구로구 경인로8길 31,서울특별시 구로구 오류동 74-8,8356,1153078000,오류2동,1153010800,오류동
서울 구로구,동일석유(주)남부충전소,서울 구로구 구로3동 1123-2,02-830-0341,자동차충전,서울 구로구 구로3동 1123-2,947137,1942951,정좌표,1.15305E+18,구주소,서울특별시 구로구 시흥대로 573,서울특별시 구로구 구로동 1123-2,8391,1153054000,구로3동,1153010200,구로동
서울 구로구,한일가스산업(주),서울 구로구 구로동 600-6,02-2675-2614,자동차충전,서울 구로구 구로동 600-6,944967,1944897,정좌표,1.15301E+18,구주소,서울특별시 구로구 경인로 535,서울특별시 구로구 구로동 600-6,8215,1153053000,구로2동,1153010200,구로동
서울 구로구,개봉충전소,서울 구로구 개봉동 175-16,02-2685-2352,자동차충전,서울 구로구 개봉동 175-16,943480,1944326,정좌표,1.15301E+18,구주소,서울특별시 구로구 경인로 364,서울특별시 구로구 개봉동 175-16,8276,1153074000,개봉1동,1153010700,개봉동
서울 금천구,(주)중앙에너비스 삼중가스지점,서울 금천구 독산2동 1059,02-8707-4587,자동차충전,서울 금천구 독산2동 1059,946790,1940462,정좌표,1.15456E+18,구주소,서울특별시 금천구 시흥대로 316,서울특별시 금천구 독산동 1059,8619,1154562000,독산2동,1154510200,독산동
서울 노원구,신성에너지주식회사,서울 노원구 공릉동 711-1,02-972-2254,자동차충전,서울 노원구 공릉동 711-1,962132,1958937,정좌표,1.13501E+18,구주소,서울특별시 노원구 동일로 1113,서울특별시 노원구 공릉동 711-1,1851,1135059500,공릉1동,1135010300,공릉동
서울 노원구,(주)노일가스,서울 노원구 상계1동 1034-1,02-934-8851,자동차충전,서울 노원구 상계1동 1034-1,960806,1963636,정좌표,1.13506E+18,구주소,서울특별시 노원구 동일로 1601,서울특별시 노원구 상계동 1034-1,1616,1135063000,상계1동,1135010500,상계동
