학교종류명,설립구분,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,경도,위도,X,Y,CLSS
각종학교(중),사립,선화예술중학교,서울특별시성동광진교육지원청,4991," 서울특별시 광진구 천호대로 664 "," / 선화예술중고등학교 (능동) ",127.087646,37.5504333,963576,1950201,정좌표
초등학교,공립,서울숭신초등학교,서울특별시성동광진교육지원청,4702," 서울특별시 성동구 마장로 161 ",(하왕십리동),127.0278149,37.5676433,958301,1952135,정좌표
중학교,공립,행당중학교,서울특별시성동광진교육지원청,4764," 서울특별시 성동구 왕십리로 189 ",(행당동/행당중학교),127.0422699,37.554408,959570,1950660,정좌표
중학교,사립,한양대학교사범대학부속중학교,서울특별시성동광진교육지원청,4761," 서울특별시 성동구 마조로 42 ",(사근동/한양사대부속중?고등학교),127.0430292,37.5614063,959641,1951437,정좌표
중학교,공립,자양중학교,서울특별시성동광진교육지원청,5069," 서울특별시 광진구 뚝섬로41길 33 ",(자양동/서울자양중학교),127.0745463,37.535329,962411,1948530,정좌표
중학교,공립,용곡중학교,서울특별시성동광진교육지원청,4940," 서울특별시 광진구 용마산로22길 76 ",(중곡동/용곡중학교),127.0889059,37.565932,963695,1951920,정좌표
중학교,공립,옥정중학교,서울특별시성동광진교육지원청,4734," 서울특별시 성동구 한림말길 11 "," / 옥정중학교 (옥수동) ",127.012369,37.541502,956921,1949242,정좌표
중학교,공립,양진중학교,서울특별시성동광진교육지원청,4982," 서울특별시 광진구 워커힐로 32 "," / 양진중학교 ",127.0981961,37.5445855,964505,1949548,정좌표
중학교,공립,신양중학교,서울특별시성동광진교육지원청,5087," 서울특별시 광진구 자양강변길 73 "," / 신양중학교 (자양동) ",127.0631988,37.5334194,961408,1948323,정좌표
중학교,공립,성원중학교,서울특별시성동광진교육지원청,4775," 서울특별시 성동구 성덕정9가길 13 "," (성수동2가/ 성원중학교) ",127.0520024,37.5392769,960422,1948978,정좌표
중학교,공립,성수중학교,서울특별시성동광진교육지원청,4768," 서울특별시 성동구 서울숲길 18 "," (성수동1가/ 성수중학교) ",127.038486,37.5476555,959232,1949913,정좌표
중학교,공립,무학중학교,서울특별시성동광진교육지원청,4716," 서울특별시 성동구 행당로 120 ",(행당동),127.032509,37.557419,958709,1950999,정좌표
중학교,공립,마장중학교,서울특별시성동광진교육지원청,4753," 서울특별시 성동구 마장로35나길 31 "," / 마장중학교 (마장동) ",127.0421148,37.5682918,959564,1952201,정좌표
중학교,사립,대원국제중학교,서울특별시성동광진교육지원청,4939," 서울특별시 광진구 용마산로22길 26 "," / 대원국제중학교 (중곡동) ",127.0891091,37.5631854,963711,1951615,정좌표
중학교,공립,동마중학교,서울특별시성동광진교육지원청,4759," 서울특별시 성동구 마조로11길 18 ",(마장동),127.0402409,37.562591,959395,1951569,정좌표
중학교,사립,동국대학교사범대학부속여자중학교,서울특별시성동광진교육지원청,5038," 서울특별시 광진구 광나루로36길 47 "," / 동국대학교사범대학부속여자중학교 (구의동) ",127.086791,37.5425876,963497,1949331,정좌표
중학교,공립,구의중학교,서울특별시성동광진교육지원청,5022," 서울특별시 광진구 광나루로30길 80 ",(화양동),127.0788654,37.5429495,962797,1949374,정좌표
중학교,공립,광희중학교,서울특별시성동광진교육지원청,4742," 서울특별시 성동구 독서당로62길 46 "," / 광희중학교 (응봉동) ",127.0339601,37.5510966,958834,1950297,정좌표
중학교,공립,광진중학교,서울특별시성동광진교육지원청,5114," 서울특별시 광진구 뚝섬로64길 45 ",(자양동/광진중학교),127.0899489,37.532286,963771,1948187,정좌표
중학교,공립,광장중학교,서울특별시성동광진교육지원청,4966," 서울특별시 광진구 광장로1길 1 "," / 광장중학교 (광장동) ",127.1017741,37.5472438,964822,1949842,정좌표
중학교,공립,광양중학교,서울특별시성동광진교육지원청,5104," 서울특별시 광진구 자양로3길 7 ",(자양동),127.0860709,37.5302016,963427,1947957,정좌표
중학교,공립,광남중학교,서울특별시성동광진교육지원청,4973," 서울특별시 광진구 아차산로70길 17-62 "," / 광남중학교 (광장동) ",127.1013913,37.540483,964785,1949092,정좌표
중학교,공립,경일중학교,서울특별시성동광진교육지원청,4779," 서울특별시 성동구 성수일로 27 ",(성수동1가),127.0480192,37.5437411,960072,1949475,정좌표
