,k,Optimal coverage points,The ratio of coverage points
0,1,1.802523432762006,0.023409395230675405
1,2,3.5605836629322125,0.046241346271846916
2,3,4.874394796565461,0.06330382852682417
3,4,6.148872305421635,0.07985548448599526
4,5,7.297970863094217,0.09477884237784698
5,6,8.247605314572203,0.10711175733210654
6,7,9.196092515675543,0.1194297729308512
7,8,9.944309535624791,0.12914687708603625
8,9,10.636635086163823,0.13813811800212758
9,10,11.324674079743517,0.1470736893473184
10,11,11.988484327728214,0.15569460165880797
11,12,12.650360510767529,0.16429039624373415
12,13,13.284594648467131,0.17252720322684587
13,14,13.911958116894318,0.18067478073888726
14,15,14.507617795346091,0.1884106207187804
15,16,15.097344550431814,0.1960694097458677
16,17,15.686186283799948,0.2037167049844149
17,18,16.270486551201824,0.21130502014547822
18,19,16.816187481888473,0.2183920452193308
19,20,17.344915904242757,0.2252586481070488
20,21,17.86236872556578,0.2319788146177374
21,22,18.334740807678976,0.23811351698284386
22,23,18.775156793649426,0.2438332051123302
23,24,19.21011694152497,0.24948203820162299
24,25,19.635494903460796,0.25500642731767265
25,26,20.06066422161899,0.26052810677427257
26,27,20.478439318258726,0.26595375737998345
27,28,20.895534564331204,0.2713705787575481
28,29,21.30644550310039,0.27670708445584924
29,30,21.710207389991425,0.28195074532456393
30,31,22.109566554654865,0.2871372279825307
31,32,22.500138274424174,0.2922095879795347
32,33,22.875153315067912,0.29707991318270016
33,34,23.248277726948878,0.30192568476556986
34,35,23.611389691323716,0.30664142456264565
35,36,23.972668895927484,0.31133336228477254
36,37,24.333567571496637,0.3160203580713849
37,38,24.694040125498066,0.3207018198116632
38,39,25.043074745354243,0.3252347369526525
39,40,25.356018289234886,0.3292989388212323
40,41,25.66013183810936,0.3332484654299917
41,42,25.96265179287175,0.3371772960113214
42,43,26.255943429909536,0.3409862783105134
43,44,26.539744835096805,0.34467201084541305
44,45,26.82354624028407,0.3483577433803126
45,46,27.08299388140081,0.3517271932649456
46,47,27.339782526334925,0.3550621107316224
47,48,27.59657117126904,0.3583970281982992
48,49,27.828558788066065,0.36140985439046835
49,50,28.057899266099138,0.36438830215713164
50,51,28.27382605666162,0.36719254619041064
51,52,28.48847499542043,0.36998019474571986
52,53,28.67260670416775,0.3723715156385422
53,54,28.853246306469636,0.3747174844996057
54,55,29.03388590877152,0.3770634533606691
55,56,29.13880776838908,0.3784260749141439
56,57,29.242664725484314,0.37977486656473136
57,58,29.319198911307765,0.38076881702997095
58,59,29.33983766369819,0.3810368527753012
59,60,29.360476416088616,0.3813048885206314
60,61,29.365578056742187,0.3813711435940544
61,62,29.370679697395758,0.3814373986674774
62,63,29.37578133804933,0.3815036537409004
63,64,29.3774714547134,0.38152560330796625
64,65,29.3774714547134,0.38152560330796625
65,66,29.3774714547134,0.38152560330796625
66,67,29.3774714547134,0.38152560330796625
67,68,29.3774714547134,0.38152560330796625
68,69,29.3774714547134,0.38152560330796625
69,70,29.3774714547134,0.38152560330796625
70,71,29.3774714547134,0.38152560330796625
71,72,29.3774714547134,0.38152560330796625
72,73,29.3774714547134,0.38152560330796625
73,74,29.3774714547134,0.38152560330796625
74,75,29.3774714547134,0.38152560330796625
75,76,29.3774714547134,0.38152560330796625
76,77,29.3774714547134,0.38152560330796625
