,k,Optimal coverage points,The ratio of coverage points
0,1,3.1750664419771617,3.1750664419771617
1,2,6.267007391540606,3.133503695770303
2,3,8.618062913266124,2.8726876377553747
3,4,10.856889619259915,2.714222404814979
4,5,12.961664881911036,2.592332976382207
5,6,14.405615807403832,2.400935967900639
6,7,15.809771245243052,2.258538749320436
7,8,17.18712487740153,2.1483906096751912
8,9,18.557352894383946,2.061928099375994
9,10,19.911554794169053,1.9911554794169053
10,11,21.182443936752072,1.9256767215229156
11,12,22.44847331212903,1.8707061093440858
12,13,23.665242744909683,1.8204032880699756
13,14,24.85177006101238,1.7751264329294558
14,15,25.999958481851912,1.733330565456794
15,16,27.11389119323136,1.69461819957696
16,17,28.210933095738323,1.6594666526904895
17,18,29.290115090414407,1.6272286161341336
18,19,30.26460665908196,1.5928740346885242
19,20,31.21845099082115,1.5609225495410575
20,21,32.16479067935483,1.5316566990168967
21,22,33.107320824101876,1.504878219277358
22,23,34.02776420599468,1.4794680089562904
23,24,34.88075796501933,1.4533649152091386
24,25,35.72511509798926,1.4290046039195703
25,26,36.50328668503941,1.4039725648092083
26,27,37.26859417165255,1.3803183026537982
27,28,38.02952230356618,1.3581972251273637
28,29,38.78835377043455,1.337529440359812
29,30,39.545777524447224,1.318192584148241
30,31,40.30033711295203,1.3000108746113557
31,32,41.04717375738019,1.282724179918131
32,33,41.78512318983111,1.2662158542373063
33,34,42.51934402189459,1.250568941820429
34,35,43.25261588569223,1.2357890253054922
35,36,43.9698245793683,1.2213840160935638
36,37,44.65846256965882,1.206985474855644
37,38,45.346157611722035,1.1933199371505798
38,39,45.99646704313466,1.1793965908496067
39,40,46.64371077509477,1.1660927693773693
40,41,47.285420991625855,1.1533029510152648
41,42,47.86123974499141,1.1395533272617002
42,43,48.429061306477834,1.126257239685531
43,44,48.97480753760243,1.1130638076727826
44,45,49.48097586575557,1.0995772414612348
45,46,49.9871441939087,1.0866770476936674
46,47,50.47113397863469,1.073853914439036
47,48,50.943206120459834,1.0613167941762465
48,49,51.41527826228498,1.0492913931078567
49,50,51.86659407212147,1.0373318814424295
50,51,52.28632955783703,1.025222148192883
51,52,52.69610544965869,1.013386643262667
52,53,53.06492824913043,1.0012250613043479
53,54,53.38855011511048,0.9886768539835274
54,55,53.71217198109054,0.9765849451107371
55,56,54.01942564903774,0.9646326008756739
56,57,54.21033796221378,0.9510585607405926
57,58,54.3528500973836,0.9371181051273034
58,59,54.39128093242489,0.921886117498727
59,60,54.42971176746619,0.9071618627911031
60,61,54.43921138772852,0.8924460883234183
61,62,54.44871100799085,0.8782050162579169
62,63,54.458210628253184,0.8644160417183046
63,64,54.461357746523156,0.8509587147894243
64,65,54.461357746523156,0.8378670422542024
65,66,54.461357746523156,0.8251720870685326
66,67,54.461357746523156,0.8128560857690024
67,68,54.461357746523156,0.8009023198018111
68,69,54.461357746523156,0.7892950398046834
69,70,54.461357746523156,0.7780193963789023
70,71,54.461357746523156,0.7670613767115937
71,72,54.461357746523156,0.7564077464794883
72,73,54.461357746523156,0.7460459965277144
73,74,54.461357746523156,0.7359642938719345
74,75,54.461357746523156,0.7261514366203088
75,76,54.461357746523156,0.716596812454252
76,77,54.461357746523156,0.7072903603444566
