,k,Optimal coverage points,The ratio of coverage points
0,1,4.775953908,0.062025375
1,2,9.44469419,0.122658366
2,3,12.84454194,0.166812233
3,4,16.23486073,0.210842347
4,5,19.47446735,0.25291516
5,6,22.68546938,0.294616485
6,7,25.70888507,0.333881624
7,8,27.64211953,0.358988565
8,9,29.55931448,0.383887201
9,10,31.42651969,0.408136619
10,11,33.25656812,0.431903482
11,12,35.06216048,0.455352734
12,13,36.7659444,0.477479797
13,14,38.4200229,0.498961336
14,15,40.07005144,0.520390278
15,16,41.70274959,0.54159415
16,17,43.20485157,0.561101968
17,18,44.68488716,0.58032321
18,19,46.11802135,0.598935342
19,20,47.4692987,0.616484399
20,21,48.76345438,0.633291615
21,22,50.04651807,0.64995478
22,23,51.26816941,0.665820382
23,24,52.48372079,0.681606763
24,25,53.69891152,0.697388461
25,26,54.85895798,0.712454
26,27,56.00937266,0.72739445
27,28,57.11265661,0.741722813
28,29,58.20374132,0.755892744
29,30,59.28654461,0.769955125
30,31,60.33995598,0.783635792
31,32,61.37795311,0.797116274
32,33,62.40968964,0.81051545
33,34,63.42053362,0.823643294
34,35,64.42089592,0.836635012
35,36,65.41328852,0.849523228
36,37,66.39022337,0.862210693
37,38,67.36386146,0.874855344
38,39,68.32707039,0.88736455
39,40,69.27965475,0.899735776
40,41,70.21293859,0.911856345
41,42,71.10882936,0.92349129
42,43,71.99086712,0.934946326
43,44,72.76897119,0.945051574
44,45,73.53248667,0.954967359
45,46,74.27783108,0.964647157
46,47,75.01597654,0.974233462
47,48,75.75412201,0.983819766
48,49,76.39095985,0.992090388
49,50,77.0277977,1.000361009
50,51,77.62266228,1.008086523
51,52,78.20070188,1.015593531
52,53,78.72625008,1.022418832
53,54,79.24510528,1.029157211
54,55,79.71174721,1.035217496
55,56,80.17838913,1.041277781
56,57,80.44294587,1.044713583
57,58,80.62875128,1.04712664
58,59,80.67885689,1.047777362
59,60,80.7289625,1.048428084
60,61,80.74134798,1.048588935
61,62,80.75373345,1.048749785
62,63,80.76611893,1.048910635
63,64,80.7702221,1.048963923
64,65,80.7702221,1.048963923
65,66,80.7702221,1.048963923
66,67,80.7702221,1.048963923
67,68,80.7702221,1.048963923
68,69,80.7702221,1.048963923
69,70,80.7702221,1.048963923
70,71,80.7702221,1.048963923
71,72,80.7702221,1.048963923
72,73,80.7702221,1.048963923
73,74,80.7702221,1.048963923
74,75,80.7702221,1.048963923
75,76,80.7702221,1.048963923
76,77,80.7702221,1.048963923
