,k,Optimal coverage points,The ratio of coverage points
0,1,6.448136682,0.087136982
1,2,12.75274136,0.172334343
2,3,17.33361205,0.234238001
3,4,21.9125185,0.296115115
4,5,26.35435291,0.356139904
5,6,30.76995337,0.415810181
6,7,34.81621405,0.470489379
7,8,37.32390535,0.504377099
8,9,39.8192592,0.538098097
9,10,42.23893694,0.570796445
10,11,44.6158528,0.60291693
11,12,46.90244734,0.633816856
12,13,49.09691603,0.663471838
13,14,51.29063011,0.693116623
14,15,53.43291264,0.722066387
15,16,55.4395282,0.749182814
16,17,57.42590616,0.776025759
17,18,59.35584528,0.802106017
18,19,61.17452461,0.826682765
19,20,62.91294584,0.850174944
20,21,64.53931841,0.872152951
21,22,66.15021614,0.89392184
22,23,67.7500079,0.915540647
23,24,69.27150254,0.936101386
24,25,70.7779025,0.956458142
25,26,72.26914776,0.976610105
26,27,73.73231022,0.996382571
27,28,75.19145241,1.016100708
28,29,76.55676634,1.034550896
29,30,77.91474464,1.052901955
30,31,79.25998598,1.071080892
31,32,80.59227137,1.089084748
32,33,81.91619505,1.106975609
33,34,83.20912935,1.124447694
34,35,84.49231962,1.141788103
35,36,85.7671248,1.1590152
36,37,87.02510187,1.17601489
37,38,88.28239381,1.193005322
38,39,89.50938741,1.209586316
39,40,90.65281723,1.225038071
40,41,91.6892683,1.239044166
41,42,92.68426705,1.252490095
42,43,93.67926579,1.265936024
43,44,94.63837112,1.278896907
44,45,95.57641758,1.291573211
45,46,96.43121513,1.303124529
46,47,97.28601268,1.314675847
47,48,98.08768152,1.32550921
48,49,98.84908049,1.335798385
49,50,99.56297367,1.34544559
50,51,100.1916196,1.353940806
51,52,100.8202656,1.362436022
52,53,101.4100017,1.370405428
53,54,101.7656388,1.375211335
54,55,102.0145447,1.378574928
55,56,102.0816664,1.379481978
56,57,102.1487881,1.380389029
57,58,102.1653798,1.38061324
58,59,102.1819714,1.380837452
59,60,102.1985631,1.381061663
60,61,102.2040597,1.381135942
61,62,102.2040597,1.381135942
62,63,102.2040597,1.381135942
63,64,102.2040597,1.381135942
64,65,102.2040597,1.381135942
65,66,102.2040597,1.381135942
66,67,102.2040597,1.381135942
67,68,102.2040597,1.381135942
68,69,102.2040597,1.381135942
69,70,102.2040597,1.381135942
70,71,102.2040597,1.381135942
71,72,102.2040597,1.381135942
72,73,102.2040597,1.381135942
73,74,102.2040597,1.381135942
