교육청명,유치원명,설립유형,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수,경도,위도,X,Y,CLSS
" 서울특별시교육청 "," 서울정심초등학교병설유치원 "," 공립(병설) "," 서울특별시 금천구 독산로78다길 89 "," 07시30분~19시30분 ",1,1,1,0,1,4,14,12,0,2,20211,126.9083194,37.4717104,947681,1941552,정좌표
" 서울특별시교육청 "," 서울솔방울유치원 "," 공립(단설) "," 서울특별시 송파구 오금로24길 25 "," 09시30분~20시00분 ",2,2,2,0,0,30,41,40,0,0,20211,127.1174041,37.5048591,966184,1945134,정좌표
" 서울특별시교육청 "," 란키즈유치원 "," 사립(사인) "," 서울특별시 송파구 새말로8길 22-5 "," 09시00분~19시00분 ",1,1,2,0,0,11,15,28,0,0,20211,127.1262919,37.4807678,966959,1942458,정좌표
" 서울특별시교육청 "," 서울신현초등학교병설유치원 "," 공립(병설) "," 서울특별시 중랑구 봉화산로 188 "," 07시30분~19시30분 ",1,1,1,0,1,15,11,13,0,4,20211,127.0934712,37.6057842,964117,1956340,정좌표
" 서울특별시교육청 "," 다우림유치원 "," 사립(사인) "," 서울특별시 은평구 증산로21길 22 "," 08시00분~20시00분 ",1,1,1,0,0,26,14,27,0,0,20211,126.9123345,37.5962346,948122,1955365,정좌표
" 서울특별시교육청 "," 서울소의초등학교병설유치원 "," 공립(병설) "," 서울특별시 마포구 마포대로24길 42 "," 07시30분~19시30분 ",1,1,1,0,0,6,15,10,0,0,20211,126.9606729,37.5525105,952362,1950488,정좌표
" 서울특별시교육청 "," 서울상계초등학교병설유치원 "," 공립(병설) "," 서울특별시 노원구 상계로9길 39 "," 07시00분~20시00분 ",0,1,1,0,0,0,5,6,0,0,20211,127.0662315,37.6593454,961740,1962293,정좌표
" 서울특별시교육청 "," 서울신구유치원 "," 공립(단설) "," 서울특별시 강남구 압구정로18길 28 "," 07시30분~19시30분 ",2,1,2,0,1,30,18,38,0,3,20211,127.0240581,37.523272,957944,1947214,정좌표
" 서울특별시교육청 "," 서울세명유치원 "," 공립(단설) "," 서울특별시 강남구 자곡로 55 "," 07시00분~19시30분 ",1,2,2,0,1,11,31,42,0,4,20211,127.0910368,37.468707,963836,1941133,정좌표
" 서울특별시교육청 "," 한신유치원 "," 사립(법인) "," 서울특별시 서초구 잠원로3길 31 "," 09시00분~17시00분 ",2,2,2,0,0,46,47,46,0,0,20211,127.0047772,37.5090548,956232,1945646,정좌표
" 서울특별시교육청 "," 서울강월초등학교병설유치원 "," 공립(병설) "," 서울특별시 양천구 신월로 97 "," 07시30분~19시30분 ",1,1,1,0,0,12,16,17,0,0,20211,126.8340784,37.516107,941151,1946521,정좌표
" 서울특별시교육청 "," 강남유치원 "," 사립(사인) "," 서울특별시 강남구 선릉로129길 31 "," 08시40분~17시40분 ",0,1,2,0,0,0,21,55,0,0,20202,127.0390458,37.5154927,959264,1946344,정좌표
" 서울특별시교육청 "," 서울연광초등학교병설유치원 "," 공립(병설) "," 서울특별시 은평구 연서로35길 37 "," 07시30분~20시00분 ",1,1,1,0,0,5,12,13,0,0,20211,126.9240864,37.6239138,949178,1958429,정좌표
" 서울특별시교육청 "," 서울원명초등학교병설유치원 "," 공립(병설) "," 서울특별시 서초구 고무래로 90-6 "," 07시30분~19시30분 ",1,1,1,0,0,16,22,25,0,0,20211,127.0166394,37.5006572,957275,1944708,정좌표
" 서울특별시교육청 "," 홍익대학교사범대학부속유치원 "," 사립(법인) "," 서울특별시 마포구 성미산로 111 "," 09시00분~17시00분 ",2,2,2,0,0,40,52,59,0,0,20211,126.9193604,37.5629881,948720,1951672,정좌표
" 서울특별시교육청 "," 서울마장초등학교병설유치원 "," 공립(병설) "," 서울특별시 성동구 마장로35나길 31 "," 09시00분~19시30분 ",1,1,1,0,0,4,13,24,0,0,20211,127.0421148,37.5682918,959564,1952201,정좌표
" 서울특별시교육청 "," 서울우솔초등학교병설유치원 "," 공립(병설) "," 서울특별시 서초구 양재대로2길 74 "," 07시30분~19시30분 ",1,2,2,0,1,9,17,26,0,3,20211,127.019279,37.4570592,957484,1939870,정좌표
" 서울특별시교육청 "," 서울언주초등학교병설유치원 "," 공립(병설) "," 서울특별시 강남구 남부순환로363길 19 "," 07시00분~19시30분 ",1,1,1,0,0,16,22,23,0,0,20211,127.0367819,37.4865596,959048,1943135,정좌표
" 서울특별시교육청 "," 서울개원초등학교병설유치원 "," 공립(병설) "," 서울특별시 강남구 선릉로 29 "," 09시00분~20시00분 ",1,1,1,0,0,8,5,4,0,0,20182,127.0586929,37.4813839,960983,1942552,정좌표
" 서울특별시교육청 "," 한별유치원 "," 사립(사인) "," 서울특별시 관악구 남부순환로144길 65 "," 09시00분~18시00분 ",1,2,2,0,0,24,47,52,0,0,20211,126.9135018,37.4784169,948144,1942293,정좌표
" 서울특별시교육청 "," 서울백산초등학교병설유치원 "," 공립(병설) "," 서울특별시 금천구 시흥대로38길 78 "," 07시00분~20시00분 ",1,1,1,0,0,6,16,17,0,0,20211,126.9052701,37.4466872,947394,1938777,정좌표
" 서울특별시교육청 "," 서울아람유치원 "," 사립(사인) "," 서울특별시 구로구 고척로25길 62 "," 09시00분~18시30분 ",1,1,1,0,0,13,12,26,0,0,20192,126.846133,37.5045931,942207,1945236,정좌표
" 서울특별시교육청 "," 성모유치원 "," 사립(법인) "," 서울특별시 영등포구 가마산로89길 7 "," 09시00분~18시00분 ",1,2,2,0,0,23,48,54,0,0,20211,126.9211873,37.5053294,948842,1945274,정좌표
" 서울특별시교육청 "," 새서울유치원 "," 사립(사인) "," 서울특별시 양천구 목동서로 340 "," 07시30분~19시30분 ",2,2,2,0,0,34,38,36,0,0,20211,126.8635158,37.5188178,943754,1946804,정좌표
" 서울특별시교육청 "," 샘터유치원 "," 사립(사인) "," 서울특별시 양천구 신월로 99 "," 08시20분~19시00분 ",1,1,2,0,0,30,36,43,0,0,20211,126.8342108,37.5177753,941164,1946706,정좌표
" 서울특별시교육청 "," 서울경인유치원 "," 공립(단설) "," 서울특별시 양천구 안양천로 1009 "," 07시00분~20시00분 ",1,2,2,0,1,16,34,41,0,4,20211,126.8863263,37.532929,945780,1948356,정좌표
" 서울특별시교육청 "," 서울공항초등학교병설유치원 "," 공립(병설) "," 서울특별시 강서구 마곡서1로 68 "," 07시30분~20시00분 ",1,1,2,0,1,16,20,46,0,3,20211,126.8216429,37.5630894,940090,1951741,정좌표
" 서울특별시교육청 "," 새일문유치원 "," 사립(사인) "," 서울특별시 동대문구 장한로 165 "," 09시00분~18시30분 ",0,0,1,1,0,0,0,24,24,0,20211,127.0716761,37.5751686,962178,1952951,정좌표
" 서울특별시교육청 "," 서울중곡초등학교병설유치원 "," 공립(병설) "," 서울특별시 중랑구 면목로23길 20 "," 09시00분~20시00분 ",1,1,2,0,0,12,18,42,0,0,20211,127.0838531,37.574597,963253,1952883,정좌표
" 서울특별시교육청 "," 한울유치원 "," 사립(사인) "," 서울특별시 노원구 덕릉로122길 12-6 "," 08시00분~17시00분 ",1,1,1,0,0,7,7,15,0,0,20211,127.0808184,37.6684973,963031,1963302,정좌표
" 서울특별시교육청 "," 햇살유치원 "," 사립(사인) "," 서울특별시 도봉구 우이천로32길 38 "," 09시00분~17시00분 ",1,2,2,0,0,15,47,36,0,0,20211,127.0252454,37.6492197,958119,1961187,정좌표
" 서울특별시교육청 "," 효천유치원 "," 사립(사인) "," 서울특별시 노원구 중계로18길 14 "," 09시00분~17시00분 ",1,1,2,0,0,24,29,54,0,0,20211,127.0782191,37.6513755,962794,1961404,정좌표
" 서울특별시교육청 "," 궁전유치원 "," 사립(사인) "," 서울특별시 은평구 갈현로33길 24 "," 09시00분~17시00분 ",1,1,1,0,0,9,8,19,0,0,20182,126.9141438,37.6221107,948300,1958235,정좌표
" 서울특별시교육청 "," 꿀벌유치원 "," 사립(사인) "," 서울특별시 송파구 양산로8길 8 "," 07시30분~19시30분 ",1,0,0,1,0,7,0,0,12,0,20211,127.1444802,37.4910558,968571,1943593,정좌표
" 서울특별시교육청 "," 송원유치원 "," 사립(사인) "," 서울특별시 강동구 성안로 64 "," 09시00분~18시00분 ",2,1,2,0,0,40,24,46,0,0,20182,127.1316333,37.5291939,967452,1947828,정좌표
" 서울특별시교육청 "," 행복한유치원 "," 사립(사인) "," 서울특별시 도봉구 시루봉로6길 86 "," 07시30분~19시30분 ",1,1,2,0,0,13,17,30,0,0,20211,127.0321759,37.6591881,958736,1962290,정좌표
" 서울특별시교육청 "," 성아유치원 "," 사립(사인) "," 서울특별시 은평구 응암로14길 21 "," 09시00분~20시00분 ",1,2,1,0,0,28,29,33,0,0,20211,126.919696,37.589905,948768,1954658,정좌표
" 서울특별시교육청 "," 성균관유치원 "," 사립(사인) "," 서울특별시 은평구 연서로27길 23 "," 07시00분~20시00분 ",2,2,3,0,0,19,39,62,0,0,20211,126.9169405,37.6182981,948544,1957810,정좌표
" 서울특별시교육청 "," 백주유치원 "," 사립(사인) "," 서울특별시 동대문구 서울시립대로18길 19 "," 08시00분~19시00분 ",1,1,1,0,0,6,24,12,0,0,20202,127.0528029,37.5806322,960514,1953565,정좌표
" 서울특별시교육청 "," 동산유치원 "," 사립(법인) "," 서울특별시 은평구 증산서길 53-9 "," 07시00분~22시00분 ",1,2,1,0,0,17,24,14,0,0,20211,126.904405,37.5817449,947412,1953762,정좌표
" 서울특별시교육청 "," 강변유치원 "," 사립(법인) "," 서울특별시 용산구 이촌로84길 9-7 "," 09시00분~17시00분 ",1,1,1,0,0,21,25,16,0,0,20211,126.9774032,37.518309,953818,1946685,정좌표
" 서울특별시교육청 "," 개동유치원 "," 사립(법인) "," 서울특별시 성북구 보국문로 143 "," 09시00분~17시00분 ",1,1,1,0,0,13,11,22,0,0,20211,127.0049982,37.6158297,956314,1957492,정좌표
" 서울특별시교육청 "," 영광유치원 "," 사립(사인) "," 서울특별시 성북구 북악산로 913 "," 08시00분~18시30분 ",2,2,2,0,0,38,43,41,0,0,20211,127.023405,37.5958815,957927,1955270,정좌표
" 서울특별시교육청 "," 은영유치원 "," 사립(법인) "," 서울특별시 성북구 보문사길 18 "," 09시00분~18시00분 ",1,2,2,0,0,18,49,45,0,0,20211,127.0166907,37.5846258,957328,1954024,정좌표
" 서울특별시교육청 "," 솔샘유치원 "," 사립(사인) "," 서울특별시 양천구 목동서로 130 "," 09시30분~20시00분 ",2,2,1,0,0,30,34,22,0,0,20182,126.8715654,37.5318969,944475,1948250,정좌표
" 서울특별시교육청 "," 한나유치원 "," 사립(사인) "," 서울특별시 강서구 금낭화로 287-19 "," 09시30분~20시00분 ",1,2,1,0,0,18,45,27,0,0,20211,126.8104839,37.5772316,939116,1953318,정좌표
" 서울특별시교육청 "," 화곡유치원 "," 사립(법인) "," 서울특별시 강서구 까치산로 60 "," 08시00분~19시00분 ",0,1,1,0,0,0,5,22,0,0,20211,126.8466017,37.5439457,942279,1949602,정좌표
" 서울특별시교육청 "," 정훈유치원 "," 사립(사인) "," 서울특별시 구로구 경인로 382 "," 07시00분~19시00분 ",1,2,2,0,0,32,42,42,0,0,20211,126.8625384,37.4952643,943650,1944191,정좌표
" 서울특별시교육청 "," 큰나무유치원 "," 사립(사인) "," 서울특별시 영등포구 도신로 31 "," 09시00분~18시00분 ",1,2,1,0,0,13,36,29,0,0,20211,126.895422,37.5053796,946564,1945294,정좌표
" 서울특별시교육청 "," 평강유치원 "," 사립(사인) "," 서울특별시 영등포구 신길로 27 "," 07시30분~19시30분 ",1,2,2,0,0,24,48,52,0,0,20211,126.9081736,37.494938,947684,1944129,정좌표
" 서울특별시교육청 "," 선희유치원 "," 사립(사인) "," 서울특별시 도봉구 해등로 241 "," 08시00분~18시30분 ",1,1,1,0,0,14,18,14,0,0,20211,127.029896,37.6575835,958534,1962113,정좌표
