행정 구역,업소명,소재지,전화번호,관리구분,입력주소,경도,위도
서울 강남구,강남복지충전소,서울 강남구 자곡동 373-1 (1층),02-445-3300,자동차충전,서울 강남구 자곡동 373-1 (1층),127.1054946,37.4763862
서울 강남구,(주)진양가스,서울 강남구 도곡동 552-4,02-3463-6811,자동차충전,서울 강남구 도곡동 552-4,127.035691,37.4904973
서울 강남구,대치에너지주식회사,서울 강남구 대치동 27-15,02-3412-2828,자동차충전,서울 강남구 대치동 27-15,127.0781008,37.4993418
서울 강남구,남서울가스(주),서울 강남구 대치동 21-1,02-3411-4411,용기+자동차+13kg용기,서울 강남구 대치동 21-1,127.0755638,37.4977992
서울 강남구,(주)수서에너지,서울 강남구 자곡동 204-1.3,02-445-1083,자동차충전,서울 강남구 자곡동 204-1.3,127.1132277,37.4811931
서울 강동구,암사충전소,서울 강동구 암사동 503-30,02-3427-4244,자동차충전,서울 강동구 암사동 503-30,127.1277832,37.5518269
서울 강동구,복지상일충전소," 서울 강동구 상일동 443-5, 7 ",02-442-5583,자동차충전,"서울 강동구 상일동 443-5, 7 ",127.1699368,37.5450305
서울 강동구,(주)경기에너지,서울 강동구 성내동 19-1,02-485-3305,자동차충전,서울 강동구 성내동 19-1,127.1289795,37.5365449
서울 강동구,복지둔촌충전소,서울 강동구 둔촌동 115-1,02-488-4892,자동차충전,서울 강동구 둔촌동 115-1,127.1465229,37.5251936
서울 강북구,(주)청학에너지,서울 강북구 번3동 267,02-980-1163,자동차충전,서울 강북구 번3동 267,127.043997,37.628235
서울 강북구,서울와사공업(주),서울 강북구 번1동 446-31.32.33,02-902-1112,자동차충전,서울 강북구 번1동 446-31.32.33,127.0281019,37.6361063
서울 강북구,국제가스공업(주),서울 강북구 수유1동 48-23,02-988-5565,자동차충전,서울 강북구 수유1동 48-23,127.0218713,37.6343068
서울 강서구,(주)삼표에너지 김포충전소,서울 강서구 오쇠동 150-5,02-2661-3111,용기+탱크+13kg용기,서울 강서구 오쇠동 150-5,126.798196,37.5380658
서울 강서구,강서가스충전소,서울 강서구 오곡동 593-2외 1필지,02-682-9100,자동차충전,서울 강서구 오곡동 593-2외 1필지,126.7689748,37.5549293
서울 강서구,대양가스충전소," 서울 강서구 가양동 449-13,14 ",02-2668-5151,자동차충전,"서울 강서구 가양동 449-13,14 ",126.8607405,37.5584815
서울 강서구,오곡동충전소," 서울 강서구 오곡동 699-14,15,16 ",02-684-9061,자동차충전,"서울 강서구 오곡동 699-14,15,16 ",126.7682248,37.5558045
서울 강서구,공항로충전소,서울 강서구 등촌동 534-12외 6필지,02-2653-7211,자동차충전,서울 강서구 등촌동 534-12외 6필지,126.8583819,37.5535751
서울 강서구,대흥에너지산업(주)," 서울 강서구 화곡동 898-3,4,10,11 ",02-2602-2448,자동차충전,"서울 강서구 화곡동 898-3,4,10,11 ",126.8473231,37.530167
서울 강서구,한경에너지,서울 강서구 개화동 215-6 LPG 충전소,02-2064-0786,자동차충전,서울 강서구 개화동 215-6 LPG 충전소,126.7991656,37.587641
서울 강서구,활주로충전소,서울 강서구 외발산동 384-2,02-676-8289,자동차충전,서울 강서구 외발산동 384-2,126.8172554,37.5420516
서울 강서구,복지개화충전소,서울 강서구 개화동 509-4,02-2661-5151,자동차충전,서울 강서구 개화동 509-4,126.8015717,37.5752764
서울 강서구,복지마곡충전소,서울 강서구 마곡동 마곡지구(Q2),02-2668-2377,자동차충전,서울 강서구 마곡동 마곡지구(Q2),126.8302094,37.5747888
서울 강서구,대영가스 충전소,서울 강서구 마곡동 761-2 (A동(충전소사무동)),02-2659-9520,자동차충전,서울 강서구 마곡동 761-2 (A동(충전소사무동)),126.8176643,37.5706092
서울 강서구,방화동LPG충전소,서울 강서구 방화동 45-9,02-2666-9033,자동차충전,서울 강서구 방화동 45-9,126.8166975,37.5852051
서울 관악구,신림충전소,서울 관악구 서림동 112-46,02-882-3434,자동차충전,서울 관악구 서림동 112-46,126.9343062,37.4735606
서울 관악구,명화가스(주),서울 관악구 낙성대동 1594-8,02-877-1376,자동차충전,서울 관악구 낙성대동 1594-8,126.9534667,37.4737228
서울 광진구,해양가스," 서울 광진구 자양동 628-19호,29호,30호 ",02-444-2442,자동차충전,"서울 광진구 자양동 628-19호,29호,30호 ",127.0836974,37.5346254
서울 광진구,중곡동충전소,서울 광진구 중곡동 611-7,02-467-4708,자동차충전,서울 광진구 중곡동 611-7,127.0737196,37.5600832
서울 광진구,한양에너지(주),서울 광진구 중곡동 237-8,02-467-8341,자동차충전,서울 광진구 중곡동 237-8,127.0766248,37.5649626
서울 구로구,오승프라임산업(주),서울 구로구 궁동 1-16  LPG충전소,02-2618-5500,자동차충전,서울 구로구 궁동 1-16  LPG충전소,126.8291305,37.5069937
서울 구로구,대성산업(주)오류동충전소,서울 구로구 오류동 74-8,02-2612-0039,용기+자동차+13kg용기,서울 구로구 오류동 74-8,126.8380262,37.4927551
서울 구로구,동일석유(주)남부충전소,서울 구로구 구로3동 1123-2,02-830-0341,자동차충전,서울 구로구 구로3동 1123-2,126.9020644,37.4842941
서울 구로구,한일가스산업(주),서울 구로구 구로동 600-6,02-2675-2614,자동차충전,서울 구로구 구로동 600-6,126.8773807,37.5017045
서울 구로구,개봉충전소,서울 구로구 개봉동 175-16,02-2685-2352,자동차충전,서울 구로구 개봉동 175-16,126.8605976,37.496471
서울 금천구,(주)중앙에너비스 삼중가스지점,서울 금천구 독산2동 1059,02-8707-4587,자동차충전,서울 금천구 독산2동 1059,126.8983235,37.4618413
서울 노원구,신성에너지주식회사,서울 노원구 공릉동 711-1,02-972-2254,자동차충전,서울 노원구 공릉동 711-1,127.0708469,37.6291162
서울 노원구,(주)노일가스,서울 노원구 상계1동 1034-1,02-934-8851,자동차충전,서울 노원구 상계1동 1034-1,127.0555723,37.6714154
서울 노원구,(주)평안에너지상계충전소,서울 노원구 중계3동 515-5,02-972-5274,자동차충전,서울 노원구 중계3동 515-5,127.0670603,37.6492695
서울 노원구,복지공릉충전소,서울 노원구 공릉동 26-69,02-3296-2903,자동차충전,서울 노원구 공릉동 26-69,127.1096563,37.6389574
서울 노원구,태능가스(주),서울 노원구 공릉동 690-11,02-972-3031,자동차충전,서울 노원구 공릉동 690-11,127.0725159,37.6169744
서울 노원구,복지노원충전소,서울 노원구 상계동 1205-4,02-934-9077,자동차충전,서울 노원구 상계동 1205-4,127.0558494,37.6871135
서울 도봉구,동원가스충전소,서울 도봉구 창2동 643-2,02-902-1231,자동차충전,서울 도봉구 창2동 643-2,127.0325618,37.6442972
서울 도봉구,케이와이에너지 (주)한영충전소,서울 도봉구 쌍문2동 715-1,02-994-1181,자동차충전,서울 도봉구 쌍문2동 715-1,127.041361,37.6605696
서울 도봉구,(주)평안에너지 도봉충전소,서울 도봉구 도봉동 376,02-3494-5185,자동차충전,서울 도봉구 도봉동 376,127.0443883,37.6923012
서울 동대문구,복지장안충전소,서울 동대문구 답십리동 1-427,02-2213-5711,자동차충전,서울 동대문구 답십리동 1-427,127.0673296,37.5760174
서울 동대문구,수도에너지(주)동서울충전소,서울 동대문구 휘경동 267-10,02-2244-6666,자동차충전,서울 동대문구 휘경동 267-10,127.0594263,37.5896145
서울 동대문구,(주)홍릉가스충전소,서울 동대문구 청량리2동 205-776,02-962-9100,자동차충전,서울 동대문구 청량리2동 205-776,127.0412907,37.5910724
서울 동대문구,장안동가스충전소," 서울 동대문구 장안동 413-6,7,9 ",02-2214-5151,자동차충전,"서울 동대문구 장안동 413-6,7,9 ",127.0587319,37.5629291
서울 동작구,동일석유(주)동주충전소,서울 동작구 대방동 334,02-821-2236,자동차충전,서울 동작구 대방동 334,126.9288376,37.4994702
서울 서대문구,연일가스산업(주),서울 서대문구 북가좌1동 392-27,02-3075-4114,자동차충전,서울 서대문구 북가좌1동 392-27,126.9063574,37.5736537
