도로명,지번주소,위도,경도
"서울특별시 종로구 삼일대로 428, 낙원상가 5층 (낙원동)",서울특별시 종로구 낙원동 288번지 낙원상가,37.5722238,126.9876399
"서울특별시 종로구 삼일대로 428, 낙원상가 4층 (낙원동)",서울특별시 종로구 낙원동 288번지 낙원상가,37.5722238,126.9876399
"서울특별시 강서구 양천로 559, 가양이마트 (가양동)",서울특별시 강서구 가양동 449번지 19호 가양이마트,37.5595594,126.8596073
"서울특별시 관악구 관악로 217, 동진빌딩 (봉천동)",서울특별시 관악구 봉천동 32번지 8호 동진빌딩,37.4680011,126.9635703
"서울특별시 관악구 관악로 217, 동진빌딩 (봉천동)",서울특별시 관악구 봉천동 32번지 8호 동진빌딩,37.4680011,126.9635703
"서울특별시 관악구 남부순환로 1836, 호산빌딩 (봉천동)",서울특별시 관악구 봉천동 853번지 1호 호산빌딩,37.4805019,126.9537464
"서울특별시 종로구 창경궁로 120, 종로플레이스 4층 (인의동)",서울특별시 종로구 인의동 28번지 2호 종로플레이스,37.5733224,126.998013
"서울특별시 은평구 수색로 300 (수색동, DMC롯데캐슬더퍼스트)",서울특별시 은평구 수색동 417 DMC롯데캐슬더퍼스트,37.5850785,126.8903785
서울특별시 중구 후암로 98,서울특별시 중구 남대문로5가 631 LG서울역빌딩,37.5538894,126.9748249
서울특별시 중구 후암로 98,서울특별시 중구 남대문로5가 631 LG서울역빌딩,37.5538894,126.9748249
서울특별시 중구 후암로 98,서울특별시 중구 남대문로5가 631 LG서울역빌딩,37.5538894,126.9748249
서울특별시 성동구 금호로 140 (금호동1가),서울특별시 성동구 금호동1가 280,37.5546346,127.0227671
"서울특별시 마포구 토정로31길 24 관리사무소 (용강동, e편한세상 마포3차)",서울특별시 마포구 용강동 508 e편한세상 마포3차 관리사무소,37.5415622,126.9437184
"서울특별시 마포구 토정로31길 24 관리사무소 (용강동, e편한세상 마포3차)",서울특별시 마포구 용강동 508 e편한세상 마포3차 관리사무소,37.5415622,126.9437184
"서울특별시 관악구 청룡16길 43 (봉천동, e편한세상서울대입구 2단지)",서울특별시 관악구 봉천동 1555번지 1호 e편한세상서울대입구 2단지,37.4768718,126.9435052
"서울특별시 관악구 청룡16길 43 (봉천동, e편한세상서울대입구 2단지)",서울특별시 관악구 봉천동 1555번지 1호 e편한세상서울대입구 2단지,37.4768718,126.9435052
"서울특별시 송파구 오금로 551, 관리동 (거여동)",서울특별시 송파구 거여동 234,37.4931823,127.1503679
"서울특별시 강서구 양천로61길 101, 가양레포츠센터 (가양동)",서울특별시 강서구 가양동 1493,37.5599659,126.8655669
서울특별시 강서구 허준로 23,서울특별시 강서구 가양동 1460 한강아파트,37.571401,126.8449982
서울특별시 영등포구 63로 10 여의도성모병원 마리아관 1층 뇌건강센터 (여의도동),서울특별시 영등포구 여의도동 62 여의도성모병원 여의도성모병원 마리아관 1층 뇌건강센터,37.5180934,126.9365809
서울특별시 강서구 양천로 507 제1경비실,서울특별시 강서구 가양동 448-1 강나루현대아파트 제1경비실,37.5607658,126.8569767
서울특별시 강남구 헌릉로590길 60 (세곡동),서울특별시 강남구 세곡동 521 강남구립 행복요양병원 (세곡동),37.4611435,127.1033649
"서울특별시 강남구 개포로28길 47, 구민체육관 (개포동)",서울특별시 강남구 개포동 1271 구민체육관,37.4777151,127.0523362
서울특별시 강남구 선릉로 668 (삼성동),서울특별시 강남구 선릉로 668 .,37.5163931,127.0422835
"서울특별시 강남구 선릉로 668, 강남구보건소,강남구립국제교육원 (삼성동)","서울특별시 강남구 삼성동 8 강남구보건소,강남구립국제교육원",37.5163307,127.0421485
"서울특별시 강남구 선릉로108길 27, 강남구치매지원센터 4층 (삼성동)",서울특별시 강남구 삼성동 113-26 강남구치매지원센터,37.5102494,127.046459
"서울특별시 관악구 신림로64길 11, 성재빌딩 (신림동)",서울특별시 관악구 신림동 1421번지 55호 성재빌딩,37.4855918,126.9320567
"서울특별시 강남구 개포로109길 5 (개포동, 대치아파트)",서울특별시 강남구 개포동 12 대치아파트,37.4941776,127.07521
서울특별시 강동구 성안로31마길 1 (천호동),서울특별시 강동구 천호동 174-1 천호3동제2공영주차장,37.5405362,127.1340931
"서울특별시 강동구 천중로17길 42-16, 천호2동자치회관 (천호동)",서울특별시 강동구 천호동 302-4 천호2동자치회관,37.5462363,127.1318121
"서울특별시 강동구 성내로 45, 강동구보건소 (성내동)",서울특별시 강동구 성내동 541번지 2호 강동구보건소,37.5294608,127.1250738
"서울특별시 강동구 올림픽로 지하 550, 강동구청역 (성내동)",서울특별시 강동구 성내동 319번지 강동구청역,37.5306697,127.1205768
서울특별시 강동구 양재대로116길 57,서울특별시 강동구 길동 362 강동도서관,37.538271,127.144496
"서울특별시 강동구 고덕로 131 (암사동, 강동 롯데캐슬퍼스트아파트)",서울특별시 강동구 암사동 414-2 강동 롯데캐슬퍼스트아파트,37.5564438,127.14205
서울특별시 강동구 고덕로 131,서울특별시 강동구 암사동 414-2 강동 롯데캐슬퍼스트아파트,37.5564438,127.14205
"서울특별시 강동구 고덕로 131 (암사동, 강동 롯데캐슬퍼스트아파트)",서울특별시 강동구 암사동 414-2 강동 롯데캐슬퍼스트아파트,37.5564438,127.14205
서울특별시 강동구 천호대로 지하 1097,서울특별시 강동구 천호동 447 강동역,37.5357824,127.1341641
"서울특별시 강동구 상일로12길 56, 강명중학교 (강일동)",서울특별시 강동구 강일동 737번지 강명중학교,37.5555058,127.1751111
"서울특별시 강서구 공항대로2가길 5, 공항동 통합복지센터 2,3층 (공항동)",서울특별시 강서구 공항동 51-42 공항동 통합복지센터,37.5603723,126.8089612
"서울특별시 강서구 금낭화로 162, 1층 (방화동, 방화메이빌아파트)",서울특별시 강서구 방화동 902번지 방화메이빌아파트,37.5795735,126.8140196
"서울특별시 강서구 공항대로 561, 강서보건소 (염창동)",서울특별시 강서구 염창동 275-12 강서보건소,37.5496444,126.8683359
"서울특별시 강서구 등촌로13자길 20, 공중화장실 (화곡동)",서울특별시 강서구 화곡동 산 22-32 강서다목적체육관,37.5395726,126.8559534
