소방서명,위치,위도,경도
종로소방서,서울특별시 종로구 종로1길 28(수송동),37.5728556,126.9789126
중부소방서,서울특별시 중구 퇴계로 394(무학동),37.5648667,127.0153938
광진소방서,서울특별시 광진구 광나루로 480(구의동),37.5449649,127.0828119
용산소방서,서울특별시 용산구 한강대로 167(한강로2가),37.534122,126.9714958
동대문소방서,서울특별시 동대문구 장한로 34(장안동),37.5640037,127.0666254
중랑소방서,서울특별시 중랑구 신내로 183(신내동),37.6153213,127.0948052
영등포소방서,서울특별시 영등포구 문래로 197(영등포동4가),37.5184421,126.9042001
성북소방서,서울특별시 성북구 종암로 27길 3(종암동),37.6025913,127.0316251
강북소방서,서울특별시 강북구 보건소길 2(번동),37.63310094,127.0381844
도봉소방서,서울특별시 도봉구 도봉로 666(방학동),37.6639821,127.0430125
노원소방서,서울특별시 노원구 한글비석로 1길 8(하계동),37.6381043,127.0711604
은평소방서,서울특별시 은평구 통일로 962(진관동),37.62896,126.920145
서대문소방서,서울특별시 서대문구 연희로 182(연희동),37.5732205,126.9360365
마포소방서,서울특별시 마포구 창전로 76(신수동),37.5494864,126.9331869
강남소방서,서울특별시 강남구 테헤란로 629(삼성동),37.5102777,127.0668644
서초소방서,서울특별시 서초구 사평대로 67(반포동),37.498466,126.9919369
관악소방서,서울특별시 관악구 관악로 97(봉천동),37.4739307,126.9523141
동작소방서,서울특별시 동작구 여의대방로16길 55(신대방동),37.4946106,126.9176919
강서소방서,서울특별시 강서구 양천로 550(등촌동),37.5579833,126.860275
양천소방서,서울특별시 양천구 목동서로 180(목동),37.5302722,126.8724554
강동소방서,서울특별시 강동구 성내로 39(성내동),37.5292678,127.1249082
송파소방서,서울특별시 송파구 오금로51길 56(마천동),37.4998289,127.1425908
구로소방서,서울특별시 구로구 경인로 408(고척동),37.4978258,126.8652844
성동소방서,서울특별시 성동구 살곶이길 331(행당동),37.5537556,127.0394847
수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),37.4849392,127.0928592
개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),37.4747082,127.0498942
영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),37.5221409,127.0369548
세곡119안전센터,서울특별시 강남구 밤고개로 268(율현동),37.4704424,127.107195
역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),37.4971505,127.0424585
삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),37.5102777,127.0668644
성내119안전센터,서울특별시 강동구 성내로 39 (성내동),37.5292678,127.1249082
고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),37.557156,127.1519576
암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),37.5539906,127.1286489
천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),37.5386435,127.1313962
길동119안전센터,서울특별시 강동구 천중로 215 (길동),37.54098,127.1443757
미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),37.6200294,127.028338
우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),37.6409197,127.0166031
삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),37.6198878,127.0155256
번동119안전센터,서울특별시 강북구 한천로 911,37.6330385,127.0382156
발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),37.5552555,126.8369113
개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),37.5749972,126.8031385
방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),37.5798,126.8142967
화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),37.5436584,126.8452195
등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),37.5579833,126.860275
마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),37.555936,126.8207152
관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),37.4739307,126.9523141
난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),37.4757014,126.9160864
신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),37.4896402,126.9240046
봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),37.4859611,126.9411573
구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),37.5449649,127.0828119
능동119안전센터,서울특별시 광진구 능동로 242 (능동),37.5517336,127.076933
중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),37.5669585,127.0866618
고일119안전센터,서울특별시 구로구 경인로 408 (고척동),37.4978258,126.8652844
신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),37.5073306,126.881213
고척119안전센터,서울특별시 구로구 고척로 195 (고척동),37.5049575,126.8548409
구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),37.4941931,126.8825969
공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),37.48422,126.8984888
수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),37.4962723,126.8295612
독산119안전센터,서울특별시 금천구 시흥대로 386 (독산동),37.4679,126.8982877
시흥119안전센터,서울특별시 금천구 시흥대로45길 31 (시흥동),37.4485471,126.900506
상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),37.655068,127.0716431
수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),37.6797404,127.0557797
월계119안전센터,서울특별시 노원구 월계로 323 (월계동),37.6288067,127.0563986
하계119안전센터,서울특별시 노원구 한글비석로1길 8 (하계동),37.6381043,127.0711604
공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),37.6190654,127.0807183
